name,countpar,projectpar
mouse,26,
get,21,
draw,12,
set,11,
prepare,11,
key,11,
update,10,
pressed,9,
count,9,
main,8,
init,7,
ball,7,
released,6,
component,6,
collision,6,
clicked,6,
score,5,
run,5,
moved,5,
launch,5,
wave,4,
move,4,
block,4,
where,3,
vy,3,
vx,3,
to,3,
stop,3,
pos,3,
play,3,
performed,3,
p,3,
m,3,
is,3,
h,3,
exited,3,
entered,3,
dragged,3,
check,3,
bounds,3,
at,3,
all,3,
add,3,
action,3,
wheel,2,
typed,2,
text,2,
string,2,
state,2,
sound,2,
send,2,
selection,2,
plus,2,
or,2,
one,2,
minus,2,
landed,2,
judge,2,
invert,2,
horizontal,2,
hit,2,
game,2,
down,2,
display,2,
damage,2,
create,2,
containts,2,
array,2,
winlose,1,
vanish,1,
v,1,
up,1,
u,1,
turntext,1,
turn,1,
the,1,
step,1,
start,1,
socket,1,
setis,1,
screen,1,
reset,1,
render,1,
redcoma,1,
recovery,1,
pre,1,
posision,1,
points,1,
playway,1,
playback,1,
pass,1,
panels,1,
paint,1,
over,1,
on,1,
o,1,
new,1,
name,1,
n,1,
menu,1,
max,1,
loop,1,
listen,1,
line,1,
level,1,
layerupper,1,
judwin,1,
initialize,1,
ifmove,1,
icon,1,
i,1,
highlight,1,
hide,1,
front,1,
foreground,1,
focus,1,
flag,1,
first,1,
finished,1,
event,1,
eight,1,
dicedraw,1,
dice,1,
delay,1,
d,1,
corner,1,
color,1,
colide,1,
changeturn,1,
changecoma,1,
calc,1,
boolstep,1,
boolmove,1,
bluecoma,1,
blocks,1,
bar,1,
background,1,
back,1,
autopass,1,
and,1,
